MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1920971,1110017D15Rik,RIKEN cDNA 1110017D15 gene,4,,cytoskeleton,,,IEA,KW-0206 ,J:60000 
MGI:1920971,1110017D15Rik,RIKEN cDNA 1110017D15 gene,4,,manchette,,,IDA,,J:135539 
MGI:1916575,1700012B09Rik,RIKEN cDNA 1700012B09 gene,9,,ciliary basal body,,,IDA,,J:240319 
MGI:1916575,1700012B09Rik,RIKEN cDNA 1700012B09 gene,9,,ciliary basal body,,,IMP,,J:249115 
MGI:1916575,1700012B09Rik,RIKEN cDNA 1700012B09 gene,9,,cytoskeleton,,,IEA,KW-0206 ,J:60000 
MGI:1922754,1700013F07Rik,RIKEN cDNA 1700013F07 gene,3,,cytoskeleton,,,ISO,Q5T5A4 ,J:164563 
MGI:1916729,1700029J07Rik,RIKEN cDNA 1700029J07 gene,8,,centrosome,,,IBA,PTN001259376 ,J:265628 
MGI:1916729,1700029J07Rik,RIKEN cDNA 1700029J07 gene,8,,centrosome,,,ISO,A7E2U8 ,J:164563 
MGI:1916729,1700029J07Rik,RIKEN cDNA 1700029J07 gene,8,,cytoskeleton,,,IEA,KW-0206 ,J:60000 
MGI:1916780,2310002L09Rik,RIKEN cDNA 2310002L09 gene,4,,cytoskeleton,,,IBA,PTN001150527 ,J:265628 
MGI:1924217,2700049A03Rik,RIKEN cDNA 2700049A03 gene,12,,centriole,,,IBA,PTN001039099 ,J:265628 
MGI:1924217,2700049A03Rik,RIKEN cDNA 2700049A03 gene,12,,centrosome,,,IDA,,J:208267 
MGI:1924217,2700049A03Rik,RIKEN cDNA 2700049A03 gene,12,,centrosome,,,ISO,Q9BVV6 ,J:164563 J:208267 
MGI:1924217,2700049A03Rik,RIKEN cDNA 2700049A03 gene,12,,ciliary basal body,,,IBA,PTN001039099 ,J:265628 
MGI:1924217,2700049A03Rik,RIKEN cDNA 2700049A03 gene,12,,ciliary basal body,,,ISO,Q9BVV6 ,J:208267 
MGI:1924217,2700049A03Rik,RIKEN cDNA 2700049A03 gene,12,,cytoskeleton,,,IEA,KW-0206 ,J:60000 
MGI:1918071,4921507P07Rik,RIKEN cDNA 4921507P07 gene,6,,centrosome,,,IBA,PTN001264849 ,J:265628 
MGI:1918071,4921507P07Rik,RIKEN cDNA 4921507P07 gene,6,,centrosome,,,ISO,Q8N865 ,J:164563 
MGI:1918071,4921507P07Rik,RIKEN cDNA 4921507P07 gene,6,,cytoskeleton,,,IEA,KW-0206 ,J:60000 
MGI:1913997,4933400A11Rik,RIKEN cDNA 4933400A11 gene,X,,actin cortical patch,,,IBA,PTN000068943 ,J:265628 
MGI:1913997,4933400A11Rik,RIKEN cDNA 4933400A11 gene,X,,F-actin capping protein complex,,,IBA,PTN000068943 ,J:265628 
MGI:1921727,4933427D14Rik,RIKEN cDNA 4933427D14 gene,11,,centriolar satellite,,,ISO,Q2KHM9 ,J:164563 
MGI:1921727,4933427D14Rik,RIKEN cDNA 4933427D14 gene,11,,centrosome,,,ISO,Q2KHM9 ,J:164563 
MGI:2443767,Aaas,"achalasia, adrenocortical insufficiency, alacrimia",15,,centrosome,,,ISO,Q9NRG9 ,J:164563 
MGI:2443767,Aaas,"achalasia, adrenocortical insufficiency, alacrimia",15,,cytoskeleton,,,IEA,KW-0206 ,J:60000 
MGI:2443767,Aaas,"achalasia, adrenocortical insufficiency, alacrimia",15,,mitotic spindle,,,ISO,Q9NRG9 ,J:164563 
MGI:2443767,Aaas,"achalasia, adrenocortical insufficiency, alacrimia",15,,mitotic spindle,,,ISS,Q9NRG9 ,J:273545 
MGI:2443767,Aaas,"achalasia, adrenocortical insufficiency, alacrimia",15,,spindle pole,,,ISO,Q9NRG9 ,J:164563 
MGI:2443767,Aaas,"achalasia, adrenocortical insufficiency, alacrimia",15,,spindle pole,,,ISS,Q9NRG9 ,J:273545 
MGI:107809,Aamp,angio-associated migratory protein,1,,microtubule cytoskeleton,,,ISO,Q13685 ,J:164563 
MGI:99606,Abca2,"ATP-binding cassette, sub-family A (ABC1), member 2",2,,microtubule organizing center,,,ISO,RGD:620238 ,J:155856 
MGI:97569,Abcb4,"ATP-binding cassette, sub-family B (MDR/TAP), member 4",5,,actin cytoskeleton,,,ISO,P21439 ,J:164563 
MGI:104913,Abi1,abl-interactor 1,2,,cytoskeleton,,,IEA,KW-0206 ,J:60000 
MGI:106913,Abi2,abl-interactor 2,1,colocalizes_with,actin filament,,,ISO,Q9NYB9 ,J:164563 
MGI:106913,Abi2,abl-interactor 2,1,,cytoskeleton,,,IEA,KW-0206 ,J:60000 
MGI:106913,Abi2,abl-interactor 2,1,,postsynaptic actin cytoskeleton,"is a part of glutamatergic synapse,is a part of hippocampal formation",,IDA,,J:95254 
MGI:106913,Abi2,abl-interactor 2,1,,postsynaptic actin cytoskeleton,"is a part of glutamatergic synapse,is a part of hippocampal formation",,IMP,,J:95254 
