MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:87867,Acadm,"acyl-Coenzyme A dehydrogenase, medium chain",3,,cardiac muscle cell differentiation,happens in cardiac muscle tissue,,IMP,MGI:3692446 ,J:115759 
MGI:87902,Acta1,"actin, alpha 1, skeletal muscle",8,,skeletal muscle fiber development,,,IDA,,J:31010 
MGI:87902,Acta1,"actin, alpha 1, skeletal muscle",8,,skeletal muscle thin filament assembly,,,IBA,PTN000233075 ,J:265628 
MGI:87902,Acta1,"actin, alpha 1, skeletal muscle",8,,skeletal muscle thin filament assembly,,,ISO,P68133 ,J:164563 
MGI:87905,Actc1,"actin, alpha, cardiac muscle 1",2,,cardiac muscle tissue morphogenesis,,,IMP,MGI:2180072 ,J:102007 
MGI:87905,Actc1,"actin, alpha, cardiac muscle 1",2,,cardiac myofibril assembly,,,IMP,MGI:2180072 ,J:40165 
MGI:87905,Actc1,"actin, alpha, cardiac muscle 1",2,,skeletal muscle thin filament assembly,,,IMP,MGI:2180072 ,J:40165 
MGI:2685344,Acte1,"actin, epsilon 1",7,,skeletal muscle thin filament assembly,,,IBA,PTN000233075 ,J:265628 
MGI:87906,Actg1,"actin, gamma, cytoplasmic 1",11,,sarcomere organization,,,IDA,,J:92541 
MGI:109192,Actn2,actinin alpha 2,13,,cardiac muscle cell development,uses UniProtKB:P58390,,IMP,,J:153742 
MGI:109192,Actn2,actinin alpha 2,13,,sarcomere organization,,,ISO,P35609 ,J:164563 
MGI:99678,Actn3,actinin alpha 3,19,,positive regulation of skeletal muscle fiber development,results in the development of UBERON:0006908,,IMP,,J:133465 
MGI:99678,Actn3,actinin alpha 3,19,,positive regulation of skeletal muscle tissue growth,,,IMP,,J:133465 J:207120 
MGI:87911,Acvr1,"activin A receptor, type 1",2,,cardiac muscle cell fate commitment,,,ISO,Q04771 ,J:164563 
MGI:87911,Acvr1,"activin A receptor, type 1",2,,smooth muscle cell differentiation,happens in outflow tract|happens in aortico-pulmonary spiral septum,,IMP,MGI:2386570 MGI:2651395 ,J:119667 
MGI:891999,Adarb1,"adenosine deaminase, RNA-specific, B1",10,,muscle tissue morphogenesis,,,IMP,MGI:4840554 ,J:164294 
MGI:1933736,Adgrb1,adhesion G protein-coupled receptor B1,15,,muscle organ development,,,IEA,KW-0517 ,J:60000 
MGI:1933736,Adgrb1,adhesion G protein-coupled receptor B1,15,,positive regulation of myoblast fusion,,,IMP,,J:198690 
MGI:2441837,Adgrb3,adhesion G protein-coupled receptor B3,1,,myoblast fusion,,,ISO,O60242 ,J:164563 
MGI:108058,Adm,adrenomedullin,7,,vascular smooth muscle cell development,,,IMP,,J:130931 
MGI:104773,Adra1a,"adrenergic receptor, alpha 1a",14,,cell growth involved in cardiac muscle cell development,"happens in heart,happens in cardiac muscle cell",,IGI,MGI:104774 ,J:83876 
MGI:104774,Adra1b,"adrenergic receptor, alpha 1b",11,,cell growth involved in cardiac muscle cell development,"happens in heart,happens in cardiac muscle cell",,IGI,MGI:104773 ,J:83876 
MGI:87937,Adrb1,"adrenergic receptor, beta 1",19,,positive regulation of cell growth involved in cardiac muscle cell development,,,ISO,RGD:2059 ,J:155856 
MGI:87938,Adrb2,"adrenergic receptor, beta 2",18,,positive regulation of skeletal muscle tissue growth,,,ISO,RGD:2060 ,J:155856 
MGI:1916847,Afg3l2,AFG3-like AAA ATPase 2,18,,muscle fiber development,"happens in gastrocnemius muscle,happens in muscle cell",,IMP,MGI:1856984 ,J:106411 
MGI:87963,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",8,,cell growth involved in cardiac muscle cell development,,,ISO,RGD:2069 ,J:155856 
MGI:87963,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",8,,smooth muscle cell differentiation,"happens in ureter,results in the differentiation of smooth muscle cell",,IDA,,J:51021 
MGI:87963,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",8,,smooth muscle cell differentiation,"happens in renal pelvis,results in the differentiation of smooth muscle cell",,IMP,MGI:2183545 ,J:51021 
MGI:87966,Agtr2,"angiotensin II receptor, type 2",X,,cell growth involved in cardiac muscle cell development,,,ISO,RGD:2072 ,J:155856 
MGI:3050566,Akap6,A kinase (PRKA) anchor protein 6,12,,positive regulation of cell growth involved in cardiac muscle cell development,,,ISO,RGD:69412 ,J:155856 
MGI:2676556,Akap13,A kinase (PRKA) anchor protein 13,7,,cardiac muscle cell differentiation,,,IMP,,J:181087 
MGI:2676556,Akap13,A kinase (PRKA) anchor protein 13,7,,cell growth involved in cardiac muscle cell development,,,ISO,RGD:727893 ,J:155856 
MGI:2676556,Akap13,A kinase (PRKA) anchor protein 13,7,,regulation of sarcomere organization,,,IMP,,J:181087 
MGI:1915300,Akirin1,akirin 1,4,,negative regulation of satellite cell differentiation,,,IMP,,J:265629 
MGI:1915300,Akirin1,akirin 1,4,,positive regulation of myoblast differentiation,,,IMP,,J:265629 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,striated muscle cell differentiation,,,IGI,MGI:96440 ,J:138783 
MGI:2449492,Alpk2,alpha-kinase 2,18,,cardiac muscle cell development,,,ISO,Q86TB3 ,J:164563 
MGI:2151224,Alpk3,alpha-kinase 3,7,,cardiac muscle cell development,,,IBA,PTN002931915 ,J:265628 
MGI:2151224,Alpk3,alpha-kinase 3,7,,cardiac muscle cell development,,,IMP,MGI:4206048 ,J:222361 
MGI:2151224,Alpk3,alpha-kinase 3,7,,cardiac muscle cell differentiation,,,IMP,,J:71661 
MGI:108359,Alx4,aristaless-like homeobox 4,2,,muscle organ development,results in the development of pectoral girdle and thoracic body wall muscle,,IMP,MGI:1857484 ,J:43769 
MGI:108448,Angpt1,angiopoietin 1,15,,cardiac muscle tissue morphogenesis,,,TAS,,J:169941 
MGI:88025,Ank2,"ankyrin 2, brain",3,,T-tubule organization,"happens in cardiac muscle cell,happens in heart ventricle",,IMP,,J:103813 
MGI:88025,Ank2,"ankyrin 2, brain",3,,T-tubule organization,"happens in heart ventricle,happens in cardiac muscle cell",,IMP,MGI:2179754 ,J:166301 
MGI:1097717,Ankrd1,ankyrin repeat domain 1 (cardiac muscle),19,,cardiac muscle tissue morphogenesis,,,ISO,Q15327 ,J:164563 
MGI:1097717,Ankrd1,ankyrin repeat domain 1 (cardiac muscle),19,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:1861447,Ankrd2,ankyrin repeat domain 2 (stretch responsive muscle),19,,negative regulation of myoblast differentiation,,,IMP,,J:183035 J:203462 
MGI:1861447,Ankrd2,ankyrin repeat domain 2 (stretch responsive muscle),19,,negative regulation of myoblast differentiation,,,ISO,Q9GZV1 ,J:164563 
MGI:1861447,Ankrd2,ankyrin repeat domain 2 (stretch responsive muscle),19,,negative regulation of myotube differentiation,"regulates the differentiation of myotube,happens in myoblast",,IDA,,J:136778 
MGI:1861447,Ankrd2,ankyrin repeat domain 2 (stretch responsive muscle),19,,negative regulation of myotube differentiation,"happens in myoblast,regulates the differentiation of myotube",,IMP,,J:203462 
MGI:1861447,Ankrd2,ankyrin repeat domain 2 (stretch responsive muscle),19,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:1932101,Ankrd17,ankyrin repeat domain 17,5,,negative regulation of smooth muscle cell differentiation,,,IMP,MGI:4360512 ,J:152840 
MGI:1925571,Ankrd23,ankyrin repeat domain 23,1,,regulation of sarcomere organization,regulates a function/process that happens in skeletal muscle fiber,,IGI,MGI:1097717 MGI:1861447 ,J:125819 
MGI:2443398,Ankrd33,ankyrin repeat domain 33,15,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,negative regulation of cardiac muscle cell proliferation,,,ISO,RGD:2123 ,J:155856 
MGI:1935147,Arid1a,AT rich interactive domain 1A (SWI-like),4,,cardiac muscle cell differentiation,,,IMP,,J:212358 
MGI:2175912,Arid5b,AT rich interactive domain 5B (MRF1-like),10,,muscle organ morphogenesis,has the participant smooth muscle tissue,,IMP,MGI:3526852 ,J:117491 
MGI:1096381,Arntl,aryl hydrocarbon receptor nuclear translocator-like,7,,positive regulation of skeletal muscle cell differentiation,,,IMP,,J:206897 
MGI:99474,Arrb2,"arrestin, beta 2",11,,positive regulation of cardiac muscle cell differentiation,,,IDA,,J:233559 
MGI:1929743,Asb2,ankyrin repeat and SOCS box-containing 2,12,,myoblast differentiation,,PR:Q8K0L0-1,IMP,,J:164183 
MGI:1929743,Asb2,ankyrin repeat and SOCS box-containing 2,12,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:1913653,Asf1a,anti-silencing function 1A histone chaperone,10,,muscle cell differentiation,,,IGI,MGI:1097686 MGI:1101768 ,J:185696 
MGI:109384,Atf3,activating transcription factor 3,1,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:1277186,Atg5,autophagy related 5,10,,ventricular cardiac muscle cell development,"happens in heart left ventricle,results in the development of cardiac muscle cell",,IMP,MGI:3050453 MGI:3663625 ,J:121778 
MGI:1921494,Atg7,autophagy related 7,6,,cardiac muscle cell development,"happens in heart,results in the development of cardiac muscle cell",,IMP,,J:121778 
MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,T-tubule organization,,,IMP,MGI:4415164 ,J:182140 
MGI:2143322,AW551984,expressed sequence AW551984,9,,cardiac muscle cell differentiation,,,IMP,,J:177756 
MGI:2143322,AW551984,expressed sequence AW551984,9,,cardiac muscle cell fate commitment,,,IGI,MGI:98956 ,J:177756 
MGI:109617,Barx2,BarH-like homeobox 2,9,,myotube differentiation,"happens in limb,results in the differentiation of cell of skeletal muscle",,IMP,,J:82185 
MGI:88138,Bcl2,B cell leukemia/lymphoma 2,1,,positive regulation of skeletal muscle fiber development,regulates a function/process that happens in skeletal musculature,,IMP,MGI:1857134 ,J:66494 
MGI:1924828,Bcl9,B cell CLL/lymphoma 9,3,,myotube differentiation involved in skeletal muscle regeneration,"happens in skeletal muscle tissue,results in the differentiation of cell of skeletal muscle",,IGI,MGI:1933114 ,J:154476 
MGI:1924828,Bcl9,B cell CLL/lymphoma 9,3,,skeletal muscle cell differentiation,results in the differentiation of skeletal muscle myoblast,,IGI,MGI:1933114 MGI:98956 ,J:154476 
MGI:1933114,Bcl9l,B cell CLL/lymphoma 9-like,9,,skeletal muscle cell differentiation,results in the differentiation of skeletal muscle myoblast,,IGI,MGI:1924828 MGI:98956 ,J:154476 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,negative regulation of myotube differentiation,,,ISO,RGD:2202 ,J:155856 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,negative regulation of striated muscle tissue development,,,ISO,RGD:2202 ,J:155856 
MGI:891976,Bhlha15,"basic helix-loop-helix family, member a15",5,,negative regulation of myotube differentiation,,,IDA,,J:215889 
MGI:1930704,Bhlhe41,"basic helix-loop-helix family, member e41",6,,negative regulation of myotube differentiation,,,IDA,,J:178282 
MGI:108092,Bin1,bridging integrator 1,18,,muscle cell differentiation,,,IMP,,J:53316 
MGI:108092,Bin1,bridging integrator 1,18,,T-tubule organization,happens in cardiac muscle cell,,IMP,,J:213224 
MGI:108092,Bin1,bridging integrator 1,18,,T-tubule organization,,,ISO,O00499 ,J:164563 
MGI:1929883,Bin3,bridging integrator 3,14,,skeletal muscle fiber development,"happens at the same time as skeletal muscle tissue regeneration,happens in skeletal muscle tissue",,IMP,MGI:3512131 ,J:202230 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,cardiac muscle cell differentiation,happens in outflow tract,,IGI,P21275 ,J:169047 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,cardiac muscle cell differentiation,,,ISO,P12643 ,J:164563 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,cardiac muscle tissue morphogenesis,has the participant bulbus cordis rostral half cardiac jelly|has the participant common atrial chamber left part cardiac muscle,,IMP,MGI:3583785 ,J:104417 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,negative regulation of cardiac muscle cell differentiation,,,ISO,P12643 ,J:164563 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,cardiac muscle cell differentiation,happens in outflow tract,,IGI,P21274 ,J:169047 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,cardiac muscle cell differentiation,,,NAS,,J:175128 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,NOT,muscular septum morphogenesis,,,IMP,,J:140658 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,negative regulation of myoblast differentiation,,,ISO,P12644 ,J:73065 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,negative regulation of striated muscle tissue development,,,ISO,P12644 ,J:73065 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,positive regulation of cardiac muscle fiber development,,,ISO,P12644 ,J:164563 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,regulation of smooth muscle cell differentiation,regulates the differentiation of mesodermal cell,,IDA,,J:128367 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,regulation of smooth muscle cell differentiation,regulates the differentiation of mesodermal cell,,IGI,MGI:1347470 ,J:128367 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,smooth muscle cell differentiation,"happens in metanephros,results in the differentiation of smooth muscle cell|happens in metanephros,results in the differentiation of pericyte cell",,IDA,,J:108713 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,ureter smooth muscle cell differentiation,,,IMP,,J:121412 
MGI:1338820,Bmp10,bone morphogenetic protein 10,6,,positive regulation of cardiac muscle cell proliferation,,,IMP,,J:119151 
MGI:1338820,Bmp10,bone morphogenetic protein 10,6,,positive regulation of sarcomere organization,,,ISO,O95393 ,J:164563 
MGI:1338820,Bmp10,bone morphogenetic protein 10,6,,sarcomere organization,,,ISO,RGD:1562986 ,J:155856 
MGI:1338820,Bmp10,bone morphogenetic protein 10,6,,ventricular cardiac muscle cell development,,,IDA,,J:116941 
MGI:1338820,Bmp10,bone morphogenetic protein 10,6,,ventricular cardiac muscle tissue morphogenesis,,,IMP,,J:89476 J:119151 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,positive regulation of cardiac muscle cell proliferation,,,IMP,,J:139945 
